City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
145,Boditi,71,ET,2021-01-14 17:39:24,56,6.9667,37.8667,64.11,3.4
146,Bandarbeyla,8,SO,2021-01-14 17:40:19,72,9.4942,50.8122,74.91,19.55
147,Saldanha,8,ZA,2021-01-14 17:40:19,73,-33.0117,17.9442,69.8,16.11
148,Roxana,20,CR,2021-01-14 17:40:19,57,10.2753,-83.7513,80.6,17.27
149,Mar Del Plata,40,AR,2021-01-14 17:37:55,64,-38.0023,-57.5575,73.4,19.57
150,Miri,40,MY,2021-01-14 17:40:19,100,4.4148,114.0089,77.0,2.3
151,Verkhoyansk,60,RU,2021-01-14 17:40:19,66,67.5447,133.385,-44.03,1.79
152,Saint-Pierre,40,RE,2021-01-14 17:40:19,83,-21.3393,55.4781,80.6,2.3
153,Fort-Shevchenko,97,KZ,2021-01-14 17:37:04,92,44.5086,50.263,38.34,11.1
154,Port Moresby,40,PG,2021-01-14 17:39:26,94,-9.4431,147.1797,77.0,3.44
155,Tubuala,40,PA,2021-01-14 17:40:19,58,9.5167,-79.0333,87.8,6.91
156,Tuatapere,87,NZ,2021-01-14 17:40:19,96,-46.1333,167.6833,55.0,1.99
157,Sapa,5,PH,2021-01-14 17:40:19,85,5.1544,120.3241,80.6,9.19
158,Jacaltenango,90,GT,2021-01-14 17:40:19,68,15.6667,-91.7333,64.4,3.87
159,Mandalgovi,1,MN,2021-01-14 17:40:19,83,45.7625,106.2708,-8.57,12.3
160,Husavik,0,IS,2021-01-14 17:40:19,69,66.0449,-17.3389,35.6,14.97
161,Daru,100,PG,2021-01-14 17:40:20,86,-9.0763,143.2092,78.87,8.84
162,Petropavlovsk-Kamchatskiy,100,RU,2021-01-14 17:40:20,65,53.0452,158.6483,-0.4,6.71
163,Iqaluit,20,CA,2021-01-14 17:40:20,76,63.7506,-68.5145,-14.01,3.44
164,Fairbanks,20,US,2021-01-14 17:40:03,77,64.8378,-147.7164,-9.4,3.87
165,Bajil,0,YE,2021-01-14 17:40:20,58,15.0584,43.2851,76.89,8.25
166,Broken Hill,0,AU,2021-01-14 17:40:20,42,-31.95,141.4333,62.6,20.71
167,Hasaki,20,JP,2021-01-14 17:38:32,75,35.7333,140.8333,37.4,6.91
168,Mao,20,ES,2021-01-14 17:40:20,76,39.8885,4.2658,48.2,5.75
169,Mucurapo,40,TT,2021-01-14 17:40:20,58,10.6667,-61.5333,86.0,12.66
170,Vanimo,100,PG,2021-01-14 17:40:20,82,-2.6741,141.3028,78.71,4.29
171,Murmino,96,RU,2021-01-14 17:40:20,100,54.6036,40.0544,15.01,4.0
172,Cherskiy,87,RU,2021-01-14 17:40:20,85,68.75,161.3,-24.18,7.34
173,Esperance,90,AU,2021-01-14 17:40:20,67,-33.8667,121.9,57.2,5.75
174,Jimani,40,DO,2021-01-14 17:40:20,51,18.4917,-71.8502,87.8,11.5
175,Concordia,0,AR,2021-01-14 17:40:21,51,-31.393,-58.0209,82.4,14.97
176,Tambura,69,SS,2021-01-14 17:40:21,20,5.6,27.4667,79.74,2.64
177,Mackay,40,AU,2021-01-14 17:40:21,94,-21.15,149.2,71.6,5.75
178,Fortuna,1,US,2021-01-14 17:37:20,87,40.5982,-124.1573,50.0,10.36
179,San Ramon,1,US,2021-01-14 17:40:21,72,37.7799,-121.978,59.0,8.05
180,Nhulunbuy,100,AU,2021-01-14 17:40:21,94,-12.2333,136.7667,78.8,1.14
181,Trincomalee,97,LK,2021-01-14 17:40:21,83,8.5711,81.2335,80.15,13.67
182,Kavieng,80,PG,2021-01-14 17:40:21,76,-2.5744,150.7967,82.31,10.71
183,Sinnamary,59,GF,2021-01-14 17:40:21,85,5.3833,-52.95,79.21,13.51
184,Bethal,88,ZA,2021-01-14 17:40:21,58,-26.4579,29.4655,69.24,9.62
185,Saint-Georges,40,GD,2021-01-14 17:40:21,65,12.0564,-61.7485,84.2,17.27
186,South Bradenton,40,US,2021-01-14 17:40:21,63,27.4631,-82.5818,66.99,6.91
187,Olesnica,79,PL,2021-01-14 17:40:22,89,51.2134,17.3899,33.01,4.0
188,Pevek,88,RU,2021-01-14 17:40:22,90,69.7008,170.3133,-12.91,7.36
189,Dzhubga,100,RU,2021-01-14 17:40:22,82,44.3211,38.7039,41.52,11.63
190,Lagoa,91,PT,2021-01-14 17:40:22,88,39.05,-27.9833,61.97,17.2
